place_id,city_id,place_name,category,description,duration_hours,opening_hours,entry_fee,rating,latitude,longitude,best_time_to_visit
201,31,Sukhna Lake,Relaxation,Artificial lake at the foothills of the Himalayas.,,,Free,4.6,30.7421,76.8184,Evening
202,31,Rose Garden,Nature,Asia's largest rose garden with 1600 species of roses.,,,Free,4.5,30.7451,76.7731,Morning
203,32,Golden Temple,Spiritual,"The holiest Gurudwara of Sikhism, famous for its golden gilded dome.",,,Free,4.9,31.62,74.8765,Morning
204,32,Jallianwala Bagh,Historic,A public garden and memorial of national importance.,,,Free,4.6,31.621,74.8801,Anytime
205,32,Wagah Border,Historic,"The international border between India and Pakistan, famous for the ceremony.",,,Free,4.8,31.6042,74.5714,Evening
206,33,Vaishno Devi Temple,Spiritual,A major pilgrimage site located in the Trikuta Mountains.,,,Free,4.9,32.9912,74.949,Anytime
207,33,Bahu Fort,Historic,Ancient fort offering a panoramic view of Old Jammu city.,,,10,4.3,32.7291,74.8872,Anytime
208,33,Raghunath Temple,Spiritual,One of the largest temple complexes in Northern India.,,,Free,4.6,32.7291,74.8622,Anytime
209,34,Dal Lake,Nature,"The 'Jewel in the crown of Kashmir', famous for houseboats and shikaras.",,,Free,4.7,34.1132,74.8691,Anytime
210,34,Mughal Gardens,Nature,A group of gardens built by the Mughals in typical Persian style.,,,20,4.5,34.1201,74.8701,Anytime
211,34,Shankaracharya Temple,Spiritual,Ancient Hindu temple situated on top of the Shankaracharya Hill.,,,Free,4.6,34.0681,74.8462,Anytime
212,35,Mall Road,Relaxation,"The main shopping street of Shimla, lined with shops and restaurants.",,,Free,4.5,31.1045,77.1741,Evening
213,35,Jakhu Temple,Spiritual,"Ancient temple dedicated to Lord Hanuman, located on Jakhu Hill.",,,Free,4.4,31.1011,77.1852,Anytime
214,35,Christ Church,Historic,"The second oldest church in Northern India, built in Neo-Gothic style.",,,Free,4.6,31.1051,77.1749,Anytime
215,36,Hadimba Devi Temple,Spiritual,An ancient cave temple dedicated to Hidimbi Devi.,,,Free,4.6,32.2482,77.1802,Anytime
216,36,Solang Valley,Adventure,"A side valley at the top of the Kullu Valley, famous for winter sports.",,,Free,4.7,32.3161,77.1551,Winter
217,36,Rohtang Pass,Nature,A high mountain pass connecting Kullu Valley with Lahaul and Spiti.,,,Free,4.8,32.3716,77.2467,Summer
218,37,Upper Lake,Nature,"The largest artificial lake in Asia, popular for water sports.",,,Free,4.4,23.2451,77.3452,Evening
219,37,Van Vihar National Park,Nature,A national park and zoo located in the heart of Bhopal.,,,15,4.3,23.2301,77.3752,Morning
220,37,Sanchi Stupa,Historic,"One of the oldest stone structures in India, a UNESCO site.",,,30,4.8,23.4751,77.7401,Anytime
221,38,Rajwada Palace,Historic,"Historical palace of the Holkar dynasty, featuring Maratha style.",,,10,4.4,22.7181,75.8576,Anytime
222,38,Lal Bagh Palace,Historic,Grand 19th-century palace reflecting European architecture.,,,15,4.5,22.7041,75.8452,Anytime
223,38,Khajrana Ganesh Temple,Spiritual,Historical temple built by Rani Ahilyabai Holkar.,,,Free,4.8,22.7441,75.8972,Anytime
224,39,Lingaraj Temple,Spiritual,"Ancient Hindu temple dedicated to Lord Shiva, 11th century.",,,Free,4.8,20.2381,85.8338,Morning
225,39,Udayagiri and Khandagiri Caves,Historic,Partly natural and partly artificial caves of Jain importance.,,,Free,4.4,20.2601,85.7862,Anytime
226,39,Odisha State Museum,Museum,Houses an extensive collection of palm leaf manuscripts.,,,10,4.3,20.2631,85.8401,Anytime
227,40,Jagannath Temple,Spiritual,"Important Hindu temple dedicated to Jagannath, a form of Vishnu.",,,Free,4.9,19.8048,85.8181,Anytime
228,40,Puri Beach,Nature,"Popular beach on the Bay of Bengal, famous for sand art.",,,Free,4.5,19.7981,85.8242,Evening
229,40,Konark Sun Temple,Historic,"A 13th-century Sun Temple, built in the shape of a giant chariot.",,,40,4.8,19.8876,86.0945,Anytime
230,41,Lakshman Jhula,Historic,An iron suspension bridge across the river Ganges.,,,Free,4.6,30.1301,78.3301,Anytime
231,41,Triveni Ghat,Spiritual,"The most sacred ghat in Rishikesh, famous for Ganga Aarti.",,,Free,4.7,30.1064,78.3021,Evening
232,41,Parmarth Niketan,Spiritual,A large ashram known for its spiritual garden and clean environment.,,,Free,4.7,30.1211,78.3151,Anytime
233,42,Alappuzha Beach,Relaxation,Popular beach known for its pier that extends into the sea.,,,Free,4.4,9.4911,76.3211,Evening
234,42,Marari Beach,Relaxation,"A quiet and calm beach, perfect for unwinding.",,,Free,4.5,9.6011,76.3001,Anytime
235,42,Pathiramanal Island,Nature,"A small island in Vembanad Lake, home to rare migratory birds.",,,Free,4.2,9.6101,76.3801,Anytime
236,43,Gulmarg Gondola,Adventure,"One of the highest cable cars in the world, offering snowy views.",,,740,4.8,34.0531,74.3861,Anytime
237,43,Alpather Lake,Nature,A high-altitude lake that remains frozen until mid-June.,,,Free,4.7,33.9801,74.3601,Summer
238,43,Khilanmarg,Adventure,A small valley offering a panoramic view of the Himalayas.,,,Free,4.6,34.0401,74.3701,Winter
239,44,Pangong Tso,Nature,A beautiful high-altitude lake known for its changing colors.,,,Free,4.9,33.7595,78.6674,Summer
240,44,Nubra Valley,Nature,"Known for its orchards, scenic vistas, and Bactrian camels.",,,Free,4.8,34.6861,77.5501,Summer
241,44,Magnetic Hill,Adventure,A gravity hill where vehicles appear to roll uphill.,,,Free,4.2,34.1681,77.3452,Anytime
242,45,Elephant Stables,Historic,Grand domed structures used to house royal elephants.,,,25,4.5,15.3341,76.4682,Anytime
243,45,Matanga Hill,Nature,"Highest point in Hampi, offering best views of the ruins.",,,Free,4.7,15.3301,76.4651,Sunrise
244,45,Hemakuta Hill,Historic,A hilltop dotted with many pre-Vijayanagara temples.,,,Free,4.6,15.3331,76.4571,Sunset
245,46,Abbey Falls,Nature,A spectacular waterfall located in the middle of coffee estates.,,,15,4.5,12.4571,75.7191,Anytime
246,46,Raja's Seat,Relaxation,A garden with seasonal flowers and musical fountains.,,,5,4.4,12.4171,75.7381,Evening
247,46,Talakaveri,Spiritual,"The source of the river Kaveri, located on Brahmagiri hills.",,,Free,4.7,12.3841,75.4851,Morning
248,47,Tribal Museum,Museum,Showcases the culture and traditions of local tribes.,,,20,4.3,18.3311,82.8552,Anytime
249,47,Galikonda View Point,Nature,Highest point in the hill station with valley views.,,,Free,4.5,18.2701,82.9001,Sunrise
250,47,Ananthagiri Hills,Nature,A scenic hill station known for its coffee plantations.,,,Free,4.6,18.2301,83.0101,Anytime
